DATE_TIME,STATION,TOTAL_TRAFFIC
2017-03-17 20:00:00,34 ST-PENN STA,62361.35676510974
2017-05-15 08:00:00,GRD CNTRL-42 ST,62314.44290399434
2017-03-29 12:00:00,34 ST-PENN STA,62296.75
2017-05-11 12:00:00,34 ST-PENN STA,62258.25
2017-05-31 12:00:00,GRD CNTRL-42 ST,62137.0
2017-05-16 12:00:00,GRD CNTRL-42 ST,62115.442903995114
2017-05-11 12:00:00,GRD CNTRL-42 ST,62108.56790399517
2017-04-12 12:00:00,GRD CNTRL-42 ST,62078.80357142666
2017-05-30 16:00:00,23 ST,62071.375
2017-04-21 16:00:00,TIMES SQ-42 ST,62016.5
2017-04-11 12:00:00,GRD CNTRL-42 ST,61983.303571432945
2017-03-02 16:00:00,14 ST-UNION SQ,61977.25
2017-03-29 12:00:00,GRD CNTRL-42 ST,61951.75
2017-05-31 16:00:00,23 ST,61904.25
2017-04-10 12:00:00,34 ST-PENN STA,61873.75
2017-03-16 16:00:00,TIMES SQ-42 ST,61812.5
2017-05-09 12:00:00,34 ST-PENN STA,61728.583333328366
2017-05-09 12:00:00,GRD CNTRL-42 ST,61720.81790399517
2017-04-11 12:00:00,34 ST-PENN STA,61718.5
2017-05-10 16:00:00,TIMES SQ-42 ST,61713.25
2017-03-06 16:00:00,TIMES SQ-42 ST,61707.0
2017-03-17 16:00:00,14 ST-UNION SQ,61621.5
2017-04-27 16:00:00,TIMES SQ-42 ST,61609.0
2017-04-11 16:00:00,23 ST,61570.25
2017-03-07 16:00:00,14 ST-UNION SQ,61565.0
2017-03-28 12:00:00,34 ST-PENN STA,61484.0
