DATE_TIME,STATION,TOTAL_TRAFFIC,date,time
5/30/17 8:00,GRD CNTRL-42 ST,68839.25,5/30/17,8:00:00
5/3/17 8:00,GRD CNTRL-42 ST,68791.7439,5/3/17,8:00:00
5/17/17 8:00,GRD CNTRL-42 ST,68746.9429,5/17/17,8:00:00
3/13/17 8:00,GRD CNTRL-42 ST,68711.5,3/13/17,8:00:00
4/24/17 16:00,23 ST,68701.5,4/24/17,16:00:00
5/2/17 16:00,23 ST,68686.96429,5/2/17,16:00:00
5/9/17 16:00,23 ST,68670.5,5/9/17,16:00:00
3/30/17 8:00,GRD CNTRL-42 ST,68627.72768,3/30/17,8:00:00
5/26/17 16:00,GRD CNTRL-42 ST,68556.4429,5/26/17,16:00:00
5/22/17 8:00,GRD CNTRL-42 ST,68520.9429,5/22/17,8:00:00
3/17/17 12:00,34 ST-PENN STA,68495.36,3/17/17,12:00:00
5/18/17 8:00,GRD CNTRL-42 ST,68407.6929,5/18/17,8:00:00
5/24/17 16:00,23 ST,68372.19048,5/24/17,16:00:00
4/4/17 16:00,23 ST,68371.25,4/4/17,16:00:00
3/31/17 12:00,GRD CNTRL-42 ST,68364.17857,3/31/17,12:00:00
3/29/17 8:00,GRD CNTRL-42 ST,68344.5,3/29/17,8:00:00
3/17/17 8:00,GRD CNTRL-42 ST,68252.75157,3/17/17,8:00:00
5/2/17 8:00,GRD CNTRL-42 ST,68165.66667,5/2/17,8:00:00
5/23/17 16:00,23 ST,68110.44048,5/23/17,16:00:00
4/6/17 16:00,23 ST,68099.25,4/6/17,16:00:00
4/19/17 8:00,GRD CNTRL-42 ST,68087.25,4/19/17,8:00:00
5/8/17 8:00,GRD CNTRL-42 ST,67920.1929,5/8/17,8:00:00
5/23/17 8:00,GRD CNTRL-42 ST,67795.83996,5/23/17,8:00:00
5/8/17 16:00,23 ST,67630,5/8/17,16:00:00
4/26/17 8:00,GRD CNTRL-42 ST,67618.85,4/26/17,8:00:00
5/24/17 8:00,GRD CNTRL-42 ST,67598.08996,5/24/17,8:00:00
5/17/17 12:00,34 ST-PENN STA,67516.12973,5/17/17,12:00:00
4/19/17 12:00,34 ST-PENN STA,67441.71675,4/19/17,12:00:00
